,ID,economy,country_code_x,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited,period,sign_contract_count,register_business_count,open_bank_account_count,discrimination_credit_prohibited_count,total_law_counts,country_code_y,latitude_x,longitude_x
55,AGO1977,Angola,AGO,Sub-Saharan Africa,Lower middle income,1977,30.6,0,No,No,No,No,1977-1981,0,0,0,0,0,AO,-11.202692,17.873887
56,AGO1978,Angola,AGO,Sub-Saharan Africa,Lower middle income,1978,30.6,0,No,No,No,No,1977-1981,0,0,0,0,0,AO,-11.202692,17.873887
57,AGO1979,Angola,AGO,Sub-Saharan Africa,Lower middle income,1979,30.6,0,No,No,No,No,1977-1981,0,0,0,0,0,AO,-11.202692,17.873887
58,AGO1980,Angola,AGO,Sub-Saharan Africa,Lower middle income,1980,30.6,0,No,No,No,No,1977-1981,0,0,0,0,0,AO,-11.202692,17.873887
59,AGO1981,Angola,AGO,Sub-Saharan Africa,Lower middle income,1981,30.6,0,No,No,No,No,1977-1981,0,0,0,0,0,AO,-11.202692,17.873887
60,AGO1982,Angola,AGO,Sub-Saharan Africa,Lower middle income,1982,30.6,0,No,No,No,No,1982-1986,0,0,0,0,0,AO,-11.202692,17.873887
61,AGO1983,Angola,AGO,Sub-Saharan Africa,Lower middle income,1983,33.1,0,No,No,No,No,1982-1986,0,0,0,0,0,AO,-11.202692,17.873887
62,AGO1984,Angola,AGO,Sub-Saharan Africa,Lower middle income,1984,33.1,0,No,No,No,No,1982-1986,0,0,0,0,0,AO,-11.202692,17.873887
63,AGO1985,Angola,AGO,Sub-Saharan Africa,Lower middle income,1985,33.1,0,No,No,No,No,1982-1986,0,0,0,0,0,AO,-11.202692,17.873887
64,AGO1986,Angola,AGO,Sub-Saharan Africa,Lower middle income,1986,33.1,0,No,No,No,No,1982-1986,0,0,0,0,0,AO,-11.202692,17.873887
65,AGO1987,Angola,AGO,Sub-Saharan Africa,Lower middle income,1987,33.1,0,No,No,No,No,1987-1991,0,0,0,0,0,AO,-11.202692,17.873887
66,AGO1988,Angola,AGO,Sub-Saharan Africa,Lower middle income,1988,33.1,0,No,No,No,No,1987-1991,0,0,0,0,0,AO,-11.202692,17.873887
67,AGO1989,Angola,AGO,Sub-Saharan Africa,Lower middle income,1989,56.3,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AO,-11.202692,17.873887
68,AGO1990,Angola,AGO,Sub-Saharan Africa,Lower middle income,1990,56.3,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AO,-11.202692,17.873887
69,AGO1991,Angola,AGO,Sub-Saharan Africa,Lower middle income,1991,56.3,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AO,-11.202692,17.873887
70,AGO1992,Angola,AGO,Sub-Saharan Africa,Lower middle income,1992,56.3,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AO,-11.202692,17.873887
71,AGO1993,Angola,AGO,Sub-Saharan Africa,Lower middle income,1993,56.3,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AO,-11.202692,17.873887
72,AGO1994,Angola,AGO,Sub-Saharan Africa,Lower middle income,1994,56.3,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AO,-11.202692,17.873887
73,AGO1995,Angola,AGO,Sub-Saharan Africa,Lower middle income,1995,56.3,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AO,-11.202692,17.873887
74,AGO1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,56.3,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AO,-11.202692,17.873887
75,AGO1997,Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,56.3,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AO,-11.202692,17.873887
76,AGO1998,Angola,AGO,Sub-Saharan Africa,Lower middle income,1998,56.3,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AO,-11.202692,17.873887
77,AGO1999,Angola,AGO,Sub-Saharan Africa,Lower middle income,1999,56.3,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AO,-11.202692,17.873887
78,AGO2000,Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,56.3,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AO,-11.202692,17.873887
79,AGO2001,Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,62.5,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AO,-11.202692,17.873887
80,AGO2002,Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,62.5,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AO,-11.202692,17.873887
81,AGO2003,Angola,AGO,Sub-Saharan Africa,Lower middle income,2003,62.5,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AO,-11.202692,17.873887
82,AGO2004,Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,62.5,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AO,-11.202692,17.873887
83,AGO2005,Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,62.5,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AO,-11.202692,17.873887
84,AGO2006,Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,62.5,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AO,-11.202692,17.873887
85,AGO2007,Angola,AGO,Sub-Saharan Africa,Lower middle income,2007,62.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AO,-11.202692,17.873887
86,AGO2008,Angola,AGO,Sub-Saharan Africa,Lower middle income,2008,62.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AO,-11.202692,17.873887
87,AGO2009,Angola,AGO,Sub-Saharan Africa,Lower middle income,2009,62.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AO,-11.202692,17.873887
88,AGO2010,Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,62.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AO,-11.202692,17.873887
89,AGO2011,Angola,AGO,Sub-Saharan Africa,Lower middle income,2011,62.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AO,-11.202692,17.873887
90,AGO2012,Angola,AGO,Sub-Saharan Africa,Lower middle income,2012,65,75,Yes,Yes,Yes,No,2012-2016,1,1,1,0,3,AO,-11.202692,17.873887
91,AGO2013,Angola,AGO,Sub-Saharan Africa,Lower middle income,2013,70.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AO,-11.202692,17.873887
92,AGO2014,Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,70.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AO,-11.202692,17.873887
93,AGO2015,Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,70.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AO,-11.202692,17.873887
94,AGO2016,Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,70.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AO,-11.202692,17.873887
95,AGO2017,Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,73.1,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AO,-11.202692,17.873887
96,AGO2018,Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,73.1,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AO,-11.202692,17.873887
97,AGO2019,Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,73.1,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AO,-11.202692,17.873887
98,AGO2020,Angola,AGO,Sub-Saharan Africa,Lower middle income,2020,73.1,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AO,-11.202692,17.873887
99,AGO2021,Angola,AGO,Sub-Saharan Africa,Lower middle income,2021,73.1,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AO,-11.202692,17.873887
100,ALB1972,Albania,ALB,Europe & Central Asia,Upper middle income,1972,59.4,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AL,41.153332,20.168331
101,ALB1973,Albania,ALB,Europe & Central Asia,Upper middle income,1973,59.4,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AL,41.153332,20.168331
102,ALB1974,Albania,ALB,Europe & Central Asia,Upper middle income,1974,59.4,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AL,41.153332,20.168331
103,ALB1975,Albania,ALB,Europe & Central Asia,Upper middle income,1975,59.4,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AL,41.153332,20.168331
104,ALB1976,Albania,ALB,Europe & Central Asia,Upper middle income,1976,59.4,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AL,41.153332,20.168331
105,ALB1977,Albania,ALB,Europe & Central Asia,Upper middle income,1977,59.4,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AL,41.153332,20.168331
106,ALB1978,Albania,ALB,Europe & Central Asia,Upper middle income,1978,59.4,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AL,41.153332,20.168331
107,ALB1979,Albania,ALB,Europe & Central Asia,Upper middle income,1979,59.4,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AL,41.153332,20.168331
108,ALB1980,Albania,ALB,Europe & Central Asia,Upper middle income,1980,59.4,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AL,41.153332,20.168331
109,ALB1981,Albania,ALB,Europe & Central Asia,Upper middle income,1981,59.4,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AL,41.153332,20.168331
110,ALB1982,Albania,ALB,Europe & Central Asia,Upper middle income,1982,59.4,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AL,41.153332,20.168331
111,ALB1983,Albania,ALB,Europe & Central Asia,Upper middle income,1983,59.4,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AL,41.153332,20.168331
112,ALB1984,Albania,ALB,Europe & Central Asia,Upper middle income,1984,59.4,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AL,41.153332,20.168331
113,ALB1985,Albania,ALB,Europe & Central Asia,Upper middle income,1985,59.4,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AL,41.153332,20.168331
114,ALB1986,Albania,ALB,Europe & Central Asia,Upper middle income,1986,59.4,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AL,41.153332,20.168331
115,ALB1987,Albania,ALB,Europe & Central Asia,Upper middle income,1987,59.4,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AL,41.153332,20.168331
116,ALB1988,Albania,ALB,Europe & Central Asia,Upper middle income,1988,59.4,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AL,41.153332,20.168331
117,ALB1989,Albania,ALB,Europe & Central Asia,Upper middle income,1989,59.4,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AL,41.153332,20.168331
118,ALB1990,Albania,ALB,Europe & Central Asia,Upper middle income,1990,59.4,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AL,41.153332,20.168331
119,ALB1991,Albania,ALB,Europe & Central Asia,Upper middle income,1991,59.4,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AL,41.153332,20.168331
120,ALB1992,Albania,ALB,Europe & Central Asia,Upper middle income,1992,59.4,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AL,41.153332,20.168331
121,ALB1993,Albania,ALB,Europe & Central Asia,Upper middle income,1993,59.4,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AL,41.153332,20.168331
122,ALB1994,Albania,ALB,Europe & Central Asia,Upper middle income,1994,65,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AL,41.153332,20.168331
123,ALB1995,Albania,ALB,Europe & Central Asia,Upper middle income,1995,65,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AL,41.153332,20.168331
124,ALB1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,65,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AL,41.153332,20.168331
125,ALB1997,Albania,ALB,Europe & Central Asia,Upper middle income,1997,80,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AL,41.153332,20.168331
126,ALB1998,Albania,ALB,Europe & Central Asia,Upper middle income,1998,80,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AL,41.153332,20.168331
127,ALB1999,Albania,ALB,Europe & Central Asia,Upper middle income,1999,80,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AL,41.153332,20.168331
128,ALB2000,Albania,ALB,Europe & Central Asia,Upper middle income,2000,80,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AL,41.153332,20.168331
129,ALB2001,Albania,ALB,Europe & Central Asia,Upper middle income,2001,80,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AL,41.153332,20.168331
130,ALB2002,Albania,ALB,Europe & Central Asia,Upper middle income,2002,80,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AL,41.153332,20.168331
131,ALB2003,Albania,ALB,Europe & Central Asia,Upper middle income,2003,80,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AL,41.153332,20.168331
132,ALB2004,Albania,ALB,Europe & Central Asia,Upper middle income,2004,80,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AL,41.153332,20.168331
133,ALB2005,Albania,ALB,Europe & Central Asia,Upper middle income,2005,80,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AL,41.153332,20.168331
134,ALB2006,Albania,ALB,Europe & Central Asia,Upper middle income,2006,80,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AL,41.153332,20.168331
135,ALB2007,Albania,ALB,Europe & Central Asia,Upper middle income,2007,80,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AL,41.153332,20.168331
136,ALB2008,Albania,ALB,Europe & Central Asia,Upper middle income,2008,82.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AL,41.153332,20.168331
137,ALB2009,Albania,ALB,Europe & Central Asia,Upper middle income,2009,82.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AL,41.153332,20.168331
138,ALB2010,Albania,ALB,Europe & Central Asia,Upper middle income,2010,82.5,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AL,41.153332,20.168331
139,ALB2011,Albania,ALB,Europe & Central Asia,Upper middle income,2011,85.6,100,Yes,Yes,Yes,Yes,2007-2011,1,1,1,1,4,AL,41.153332,20.168331
140,ALB2012,Albania,ALB,Europe & Central Asia,Upper middle income,2012,85.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AL,41.153332,20.168331
141,ALB2013,Albania,ALB,Europe & Central Asia,Upper middle income,2013,85.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AL,41.153332,20.168331
142,ALB2014,Albania,ALB,Europe & Central Asia,Upper middle income,2014,85.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AL,41.153332,20.168331
143,ALB2015,Albania,ALB,Europe & Central Asia,Upper middle income,2015,85.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AL,41.153332,20.168331
144,ALB2016,Albania,ALB,Europe & Central Asia,Upper middle income,2016,85.6,100,Yes,Yes,Yes,Yes,2012-2016,1,1,1,1,4,AL,41.153332,20.168331
145,ALB2017,Albania,ALB,Europe & Central Asia,Upper middle income,2017,91.3,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AL,41.153332,20.168331
146,ALB2018,Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.3,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AL,41.153332,20.168331
147,ALB2019,Albania,ALB,Europe & Central Asia,Upper middle income,2019,91.3,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AL,41.153332,20.168331
148,ALB2020,Albania,ALB,Europe & Central Asia,Upper middle income,2020,91.3,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AL,41.153332,20.168331
149,ALB2021,Albania,ALB,Europe & Central Asia,Upper middle income,2021,91.3,100,Yes,Yes,Yes,Yes,2017-2021,1,1,1,1,4,AL,41.153332,20.168331
150,ARE1972,United Arab Emirates,ARE,Middle East & North Africa,High income,1972,17.5,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AE,23.424076,53.847818
151,ARE1973,United Arab Emirates,ARE,Middle East & North Africa,High income,1973,17.5,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AE,23.424076,53.847818
152,ARE1974,United Arab Emirates,ARE,Middle East & North Africa,High income,1974,17.5,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AE,23.424076,53.847818
153,ARE1975,United Arab Emirates,ARE,Middle East & North Africa,High income,1975,17.5,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AE,23.424076,53.847818
154,ARE1976,United Arab Emirates,ARE,Middle East & North Africa,High income,1976,17.5,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AE,23.424076,53.847818
155,ARE1977,United Arab Emirates,ARE,Middle East & North Africa,High income,1977,17.5,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AE,23.424076,53.847818
156,ARE1978,United Arab Emirates,ARE,Middle East & North Africa,High income,1978,17.5,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AE,23.424076,53.847818
157,ARE1979,United Arab Emirates,ARE,Middle East & North Africa,High income,1979,17.5,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AE,23.424076,53.847818
158,ARE1980,United Arab Emirates,ARE,Middle East & North Africa,High income,1980,17.5,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AE,23.424076,53.847818
159,ARE1981,United Arab Emirates,ARE,Middle East & North Africa,High income,1981,17.5,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AE,23.424076,53.847818
160,ARE1982,United Arab Emirates,ARE,Middle East & North Africa,High income,1982,17.5,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AE,23.424076,53.847818
161,ARE1983,United Arab Emirates,ARE,Middle East & North Africa,High income,1983,17.5,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AE,23.424076,53.847818
162,ARE1984,United Arab Emirates,ARE,Middle East & North Africa,High income,1984,17.5,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AE,23.424076,53.847818
