,Unnamed: 0,ID,economy,wbcodev2,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited,period
211,211,ARG1978,Argentina,ARG,Latin America & Caribbean,Upper middle income,1978,38.8,0,No,No,No,No,1977-1981
212,212,ARG1979,Argentina,ARG,Latin America & Caribbean,Upper middle income,1979,38.8,0,No,No,No,No,1977-1981
213,213,ARG1980,Argentina,ARG,Latin America & Caribbean,Upper middle income,1980,38.8,0,No,No,No,No,1977-1981
214,214,ARG1981,Argentina,ARG,Latin America & Caribbean,Upper middle income,1981,38.8,0,No,No,No,No,1977-1981
215,215,ARG1982,Argentina,ARG,Latin America & Caribbean,Upper middle income,1982,38.8,0,No,No,No,No,1982-1986
216,216,ARG1983,Argentina,ARG,Latin America & Caribbean,Upper middle income,1983,38.8,0,No,No,No,No,1982-1986
217,217,ARG1984,Argentina,ARG,Latin America & Caribbean,Upper middle income,1984,38.8,0,No,No,No,No,1982-1986
218,218,ARG1985,Argentina,ARG,Latin America & Caribbean,Upper middle income,1985,38.8,0,No,No,No,No,1982-1986
219,219,ARG1986,Argentina,ARG,Latin America & Caribbean,Upper middle income,1986,38.8,0,No,No,No,No,1982-1986
220,220,ARG1987,Argentina,ARG,Latin America & Caribbean,Upper middle income,1987,38.8,0,No,No,No,No,1987-1991
221,221,ARG1988,Argentina,ARG,Latin America & Caribbean,Upper middle income,1988,38.8,0,No,No,No,No,1987-1991
222,222,ARG1989,Argentina,ARG,Latin America & Caribbean,Upper middle income,1989,59.4,75,Yes,Yes,Yes,No,1987-1991
223,223,ARG1990,Argentina,ARG,Latin America & Caribbean,Upper middle income,1990,59.4,75,Yes,Yes,Yes,No,1987-1991
