,ID,economy,wbcodev2,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited
47,AFG2018,Afghanistan,AFG,South Asia,Low income,2018,38.1,75,Yes,Yes,Yes,No
48,AFG2019,Afghanistan,AFG,South Asia,Low income,2019,38.1,75,Yes,Yes,Yes,No
49,AFG2020,Afghanistan,AFG,South Asia,Low income,2020,38.1,75,Yes,Yes,Yes,No
50,AFG2021,Afghanistan,AFG,South Asia,Low income,2021,38.1,75,Yes,Yes,Yes,No
51,AGO1971,Angola,AGO,Sub-Saharan Africa,Lower middle income,1971,30.6,0,No,No,No,No
52,AGO1972,Angola,AGO,Sub-Saharan Africa,Lower middle income,1972,30.6,0,No,No,No,No
53,AGO1973,Angola,AGO,Sub-Saharan Africa,Lower middle income,1973,30.6,0,No,No,No,No
54,AGO1974,Angola,AGO,Sub-Saharan Africa,Lower middle income,1974,30.6,0,No,No,No,No
55,AGO1975,Angola,AGO,Sub-Saharan Africa,Lower middle income,1975,30.6,0,No,No,No,No
56,AGO1976,Angola,AGO,Sub-Saharan Africa,Lower middle income,1976,30.6,0,No,No,No,No
57,AGO1977,Angola,AGO,Sub-Saharan Africa,Lower middle income,1977,30.6,0,No,No,No,No
58,AGO1978,Angola,AGO,Sub-Saharan Africa,Lower middle income,1978,30.6,0,No,No,No,No
59,AGO1979,Angola,AGO,Sub-Saharan Africa,Lower middle income,1979,30.6,0,No,No,No,No
60,AGO1980,Angola,AGO,Sub-Saharan Africa,Lower middle income,1980,30.6,0,No,No,No,No
61,AGO1981,Angola,AGO,Sub-Saharan Africa,Lower middle income,1981,30.6,0,No,No,No,No
62,AGO1982,Angola,AGO,Sub-Saharan Africa,Lower middle income,1982,30.6,0,No,No,No,No
63,AGO1983,Angola,AGO,Sub-Saharan Africa,Lower middle income,1983,33.1,0,No,No,No,No
64,AGO1984,Angola,AGO,Sub-Saharan Africa,Lower middle income,1984,33.1,0,No,No,No,No
65,AGO1985,Angola,AGO,Sub-Saharan Africa,Lower middle income,1985,33.1,0,No,No,No,No
66,AGO1986,Angola,AGO,Sub-Saharan Africa,Lower middle income,1986,33.1,0,No,No,No,No
67,AGO1987,Angola,AGO,Sub-Saharan Africa,Lower middle income,1987,33.1,0,No,No,No,No
68,AGO1988,Angola,AGO,Sub-Saharan Africa,Lower middle income,1988,33.1,0,No,No,No,No
69,AGO1989,Angola,AGO,Sub-Saharan Africa,Lower middle income,1989,56.3,75,Yes,Yes,Yes,No
70,AGO1990,Angola,AGO,Sub-Saharan Africa,Lower middle income,1990,56.3,75,Yes,Yes,Yes,No
71,AGO1991,Angola,AGO,Sub-Saharan Africa,Lower middle income,1991,56.3,75,Yes,Yes,Yes,No
72,AGO1992,Angola,AGO,Sub-Saharan Africa,Lower middle income,1992,56.3,75,Yes,Yes,Yes,No
73,AGO1993,Angola,AGO,Sub-Saharan Africa,Lower middle income,1993,56.3,75,Yes,Yes,Yes,No
74,AGO1994,Angola,AGO,Sub-Saharan Africa,Lower middle income,1994,56.3,75,Yes,Yes,Yes,No
75,AGO1995,Angola,AGO,Sub-Saharan Africa,Lower middle income,1995,56.3,75,Yes,Yes,Yes,No
76,AGO1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,56.3,75,Yes,Yes,Yes,No
77,AGO1997,Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,56.3,75,Yes,Yes,Yes,No
78,AGO1998,Angola,AGO,Sub-Saharan Africa,Lower middle income,1998,56.3,75,Yes,Yes,Yes,No
79,AGO1999,Angola,AGO,Sub-Saharan Africa,Lower middle income,1999,56.3,75,Yes,Yes,Yes,No
80,AGO2000,Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,56.3,75,Yes,Yes,Yes,No
81,AGO2001,Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,62.5,75,Yes,Yes,Yes,No
82,AGO2002,Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,62.5,75,Yes,Yes,Yes,No
83,AGO2003,Angola,AGO,Sub-Saharan Africa,Lower middle income,2003,62.5,75,Yes,Yes,Yes,No
84,AGO2004,Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,62.5,75,Yes,Yes,Yes,No
85,AGO2005,Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,62.5,75,Yes,Yes,Yes,No
86,AGO2006,Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,62.5,75,Yes,Yes,Yes,No
87,AGO2007,Angola,AGO,Sub-Saharan Africa,Lower middle income,2007,62.5,75,Yes,Yes,Yes,No
88,AGO2008,Angola,AGO,Sub-Saharan Africa,Lower middle income,2008,62.5,75,Yes,Yes,Yes,No
89,AGO2009,Angola,AGO,Sub-Saharan Africa,Lower middle income,2009,62.5,75,Yes,Yes,Yes,No
90,AGO2010,Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,62.5,75,Yes,Yes,Yes,No
91,AGO2011,Angola,AGO,Sub-Saharan Africa,Lower middle income,2011,62.5,75,Yes,Yes,Yes,No
92,AGO2012,Angola,AGO,Sub-Saharan Africa,Lower middle income,2012,65.0,75,Yes,Yes,Yes,No
93,AGO2013,Angola,AGO,Sub-Saharan Africa,Lower middle income,2013,70.6,100,Yes,Yes,Yes,Yes
94,AGO2014,Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,70.6,100,Yes,Yes,Yes,Yes
95,AGO2015,Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,70.6,100,Yes,Yes,Yes,Yes
96,AGO2016,Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,70.6,100,Yes,Yes,Yes,Yes
97,AGO2017,Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,73.1,100,Yes,Yes,Yes,Yes
98,AGO2018,Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,73.1,100,Yes,Yes,Yes,Yes
99,AGO2019,Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,73.1,100,Yes,Yes,Yes,Yes
100,AGO2020,Angola,AGO,Sub-Saharan Africa,Lower middle income,2020,73.1,100,Yes,Yes,Yes,Yes
101,AGO2021,Angola,AGO,Sub-Saharan Africa,Lower middle income,2021,73.1,100,Yes,Yes,Yes,Yes
102,ALB1971,Albania,ALB,Europe & Central Asia,Upper middle income,1971,59.4,75,Yes,Yes,Yes,No
103,ALB1972,Albania,ALB,Europe & Central Asia,Upper middle income,1972,59.4,75,Yes,Yes,Yes,No
104,ALB1973,Albania,ALB,Europe & Central Asia,Upper middle income,1973,59.4,75,Yes,Yes,Yes,No
105,ALB1974,Albania,ALB,Europe & Central Asia,Upper middle income,1974,59.4,75,Yes,Yes,Yes,No
106,ALB1975,Albania,ALB,Europe & Central Asia,Upper middle income,1975,59.4,75,Yes,Yes,Yes,No
107,ALB1976,Albania,ALB,Europe & Central Asia,Upper middle income,1976,59.4,75,Yes,Yes,Yes,No
108,ALB1977,Albania,ALB,Europe & Central Asia,Upper middle income,1977,59.4,75,Yes,Yes,Yes,No
109,ALB1978,Albania,ALB,Europe & Central Asia,Upper middle income,1978,59.4,75,Yes,Yes,Yes,No
110,ALB1979,Albania,ALB,Europe & Central Asia,Upper middle income,1979,59.4,75,Yes,Yes,Yes,No
111,ALB1980,Albania,ALB,Europe & Central Asia,Upper middle income,1980,59.4,75,Yes,Yes,Yes,No
112,ALB1981,Albania,ALB,Europe & Central Asia,Upper middle income,1981,59.4,75,Yes,Yes,Yes,No
113,ALB1982,Albania,ALB,Europe & Central Asia,Upper middle income,1982,59.4,75,Yes,Yes,Yes,No
114,ALB1983,Albania,ALB,Europe & Central Asia,Upper middle income,1983,59.4,75,Yes,Yes,Yes,No
115,ALB1984,Albania,ALB,Europe & Central Asia,Upper middle income,1984,59.4,75,Yes,Yes,Yes,No
116,ALB1985,Albania,ALB,Europe & Central Asia,Upper middle income,1985,59.4,75,Yes,Yes,Yes,No
117,ALB1986,Albania,ALB,Europe & Central Asia,Upper middle income,1986,59.4,75,Yes,Yes,Yes,No
118,ALB1987,Albania,ALB,Europe & Central Asia,Upper middle income,1987,59.4,75,Yes,Yes,Yes,No
119,ALB1988,Albania,ALB,Europe & Central Asia,Upper middle income,1988,59.4,75,Yes,Yes,Yes,No
120,ALB1989,Albania,ALB,Europe & Central Asia,Upper middle income,1989,59.4,75,Yes,Yes,Yes,No
121,ALB1990,Albania,ALB,Europe & Central Asia,Upper middle income,1990,59.4,75,Yes,Yes,Yes,No
122,ALB1991,Albania,ALB,Europe & Central Asia,Upper middle income,1991,59.4,75,Yes,Yes,Yes,No
123,ALB1992,Albania,ALB,Europe & Central Asia,Upper middle income,1992,59.4,75,Yes,Yes,Yes,No
124,ALB1993,Albania,ALB,Europe & Central Asia,Upper middle income,1993,59.4,75,Yes,Yes,Yes,No
125,ALB1994,Albania,ALB,Europe & Central Asia,Upper middle income,1994,65.0,75,Yes,Yes,Yes,No
126,ALB1995,Albania,ALB,Europe & Central Asia,Upper middle income,1995,65.0,75,Yes,Yes,Yes,No
127,ALB1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,65.0,75,Yes,Yes,Yes,No
128,ALB1997,Albania,ALB,Europe & Central Asia,Upper middle income,1997,80.0,75,Yes,Yes,Yes,No
129,ALB1998,Albania,ALB,Europe & Central Asia,Upper middle income,1998,80.0,75,Yes,Yes,Yes,No
130,ALB1999,Albania,ALB,Europe & Central Asia,Upper middle income,1999,80.0,75,Yes,Yes,Yes,No
131,ALB2000,Albania,ALB,Europe & Central Asia,Upper middle income,2000,80.0,75,Yes,Yes,Yes,No
132,ALB2001,Albania,ALB,Europe & Central Asia,Upper middle income,2001,80.0,75,Yes,Yes,Yes,No
133,ALB2002,Albania,ALB,Europe & Central Asia,Upper middle income,2002,80.0,75,Yes,Yes,Yes,No
134,ALB2003,Albania,ALB,Europe & Central Asia,Upper middle income,2003,80.0,75,Yes,Yes,Yes,No
135,ALB2004,Albania,ALB,Europe & Central Asia,Upper middle income,2004,80.0,75,Yes,Yes,Yes,No
136,ALB2005,Albania,ALB,Europe & Central Asia,Upper middle income,2005,80.0,75,Yes,Yes,Yes,No
137,ALB2006,Albania,ALB,Europe & Central Asia,Upper middle income,2006,80.0,75,Yes,Yes,Yes,No
138,ALB2007,Albania,ALB,Europe & Central Asia,Upper middle income,2007,80.0,75,Yes,Yes,Yes,No
139,ALB2008,Albania,ALB,Europe & Central Asia,Upper middle income,2008,82.5,75,Yes,Yes,Yes,No
140,ALB2009,Albania,ALB,Europe & Central Asia,Upper middle income,2009,82.5,75,Yes,Yes,Yes,No
141,ALB2010,Albania,ALB,Europe & Central Asia,Upper middle income,2010,82.5,75,Yes,Yes,Yes,No
142,ALB2011,Albania,ALB,Europe & Central Asia,Upper middle income,2011,85.6,100,Yes,Yes,Yes,Yes
143,ALB2012,Albania,ALB,Europe & Central Asia,Upper middle income,2012,85.6,100,Yes,Yes,Yes,Yes
144,ALB2013,Albania,ALB,Europe & Central Asia,Upper middle income,2013,85.6,100,Yes,Yes,Yes,Yes
145,ALB2014,Albania,ALB,Europe & Central Asia,Upper middle income,2014,85.6,100,Yes,Yes,Yes,Yes
146,ALB2015,Albania,ALB,Europe & Central Asia,Upper middle income,2015,85.6,100,Yes,Yes,Yes,Yes
147,ALB2016,Albania,ALB,Europe & Central Asia,Upper middle income,2016,85.6,100,Yes,Yes,Yes,Yes
148,ALB2017,Albania,ALB,Europe & Central Asia,Upper middle income,2017,91.3,100,Yes,Yes,Yes,Yes
149,ALB2018,Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.3,100,Yes,Yes,Yes,Yes
150,ALB2019,Albania,ALB,Europe & Central Asia,Upper middle income,2019,91.3,100,Yes,Yes,Yes,Yes
151,ALB2020,Albania,ALB,Europe & Central Asia,Upper middle income,2020,91.3,100,Yes,Yes,Yes,Yes
152,ALB2021,Albania,ALB,Europe & Central Asia,Upper middle income,2021,91.3,100,Yes,Yes,Yes,Yes
153,ARE1971,United Arab Emirates,ARE,Middle East & North Africa,High income,1971,17.5,75,Yes,Yes,Yes,No
154,ARE1972,United Arab Emirates,ARE,Middle East & North Africa,High income,1972,17.5,75,Yes,Yes,Yes,No
155,ARE1973,United Arab Emirates,ARE,Middle East & North Africa,High income,1973,17.5,75,Yes,Yes,Yes,No
156,ARE1974,United Arab Emirates,ARE,Middle East & North Africa,High income,1974,17.5,75,Yes,Yes,Yes,No
157,ARE1975,United Arab Emirates,ARE,Middle East & North Africa,High income,1975,17.5,75,Yes,Yes,Yes,No
158,ARE1976,United Arab Emirates,ARE,Middle East & North Africa,High income,1976,17.5,75,Yes,Yes,Yes,No
159,ARE1977,United Arab Emirates,ARE,Middle East & North Africa,High income,1977,17.5,75,Yes,Yes,Yes,No
160,ARE1978,United Arab Emirates,ARE,Middle East & North Africa,High income,1978,17.5,75,Yes,Yes,Yes,No
161,ARE1979,United Arab Emirates,ARE,Middle East & North Africa,High income,1979,17.5,75,Yes,Yes,Yes,No
162,ARE1980,United Arab Emirates,ARE,Middle East & North Africa,High income,1980,17.5,75,Yes,Yes,Yes,No
163,ARE1981,United Arab Emirates,ARE,Middle East & North Africa,High income,1981,17.5,75,Yes,Yes,Yes,No
164,ARE1982,United Arab Emirates,ARE,Middle East & North Africa,High income,1982,17.5,75,Yes,Yes,Yes,No
165,ARE1983,United Arab Emirates,ARE,Middle East & North Africa,High income,1983,17.5,75,Yes,Yes,Yes,No
166,ARE1984,United Arab Emirates,ARE,Middle East & North Africa,High income,1984,17.5,75,Yes,Yes,Yes,No
167,ARE1985,United Arab Emirates,ARE,Middle East & North Africa,High income,1985,17.5,75,Yes,Yes,Yes,No
168,ARE1986,United Arab Emirates,ARE,Middle East & North Africa,High income,1986,17.5,75,Yes,Yes,Yes,No
169,ARE1987,United Arab Emirates,ARE,Middle East & North Africa,High income,1987,17.5,75,Yes,Yes,Yes,No
170,ARE1988,United Arab Emirates,ARE,Middle East & North Africa,High income,1988,17.5,75,Yes,Yes,Yes,No
171,ARE1989,United Arab Emirates,ARE,Middle East & North Africa,High income,1989,17.5,75,Yes,Yes,Yes,No
172,ARE1990,United Arab Emirates,ARE,Middle East & North Africa,High income,1990,17.5,75,Yes,Yes,Yes,No
173,ARE1991,United Arab Emirates,ARE,Middle East & North Africa,High income,1991,17.5,75,Yes,Yes,Yes,No
174,ARE1992,United Arab Emirates,ARE,Middle East & North Africa,High income,1992,17.5,75,Yes,Yes,Yes,No
175,ARE1993,United Arab Emirates,ARE,Middle East & North Africa,High income,1993,17.5,75,Yes,Yes,Yes,No
176,ARE1994,United Arab Emirates,ARE,Middle East & North Africa,High income,1994,17.5,75,Yes,Yes,Yes,No
177,ARE1995,United Arab Emirates,ARE,Middle East & North Africa,High income,1995,17.5,75,Yes,Yes,Yes,No
178,ARE1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,17.5,75,Yes,Yes,Yes,No
179,ARE1997,United Arab Emirates,ARE,Middle East & North Africa,High income,1997,17.5,75,Yes,Yes,Yes,No
180,ARE1998,United Arab Emirates,ARE,Middle East & North Africa,High income,1998,17.5,75,Yes,Yes,Yes,No
181,ARE1999,United Arab Emirates,ARE,Middle East & North Africa,High income,1999,17.5,75,Yes,Yes,Yes,No
182,ARE2000,United Arab Emirates,ARE,Middle East & North Africa,High income,2000,26.9,75,Yes,Yes,Yes,No
183,ARE2001,United Arab Emirates,ARE,Middle East & North Africa,High income,2001,26.9,75,Yes,Yes,Yes,No
184,ARE2002,United Arab Emirates,ARE,Middle East & North Africa,High income,2002,26.9,75,Yes,Yes,Yes,No
185,ARE2003,United Arab Emirates,ARE,Middle East & North Africa,High income,2003,26.9,75,Yes,Yes,Yes,No
186,ARE2004,United Arab Emirates,ARE,Middle East & North Africa,High income,2004,26.9,75,Yes,Yes,Yes,No
187,ARE2005,United Arab Emirates,ARE,Middle East & North Africa,High income,2005,26.9,75,Yes,Yes,Yes,No
188,ARE2006,United Arab Emirates,ARE,Middle East & North Africa,High income,2006,26.9,75,Yes,Yes,Yes,No
189,ARE2007,United Arab Emirates,ARE,Middle East & North Africa,High income,2007,26.9,75,Yes,Yes,Yes,No
190,ARE2008,United Arab Emirates,ARE,Middle East & North Africa,High income,2008,26.9,75,Yes,Yes,Yes,No
191,ARE2009,United Arab Emirates,ARE,Middle East & North Africa,High income,2009,26.9,75,Yes,Yes,Yes,No
192,ARE2010,United Arab Emirates,ARE,Middle East & North Africa,High income,2010,26.9,75,Yes,Yes,Yes,No
193,ARE2011,United Arab Emirates,ARE,Middle East & North Africa,High income,2011,26.9,75,Yes,Yes,Yes,No
194,ARE2012,United Arab Emirates,ARE,Middle East & North Africa,High income,2012,26.9,75,Yes,Yes,Yes,No
195,ARE2013,United Arab Emirates,ARE,Middle East & North Africa,High income,2013,26.9,75,Yes,Yes,Yes,No
196,ARE2014,United Arab Emirates,ARE,Middle East & North Africa,High income,2014,26.9,75,Yes,Yes,Yes,No
197,ARE2015,United Arab Emirates,ARE,Middle East & North Africa,High income,2015,26.9,75,Yes,Yes,Yes,No
198,ARE2016,United Arab Emirates,ARE,Middle East & North Africa,High income,2016,26.9,75,Yes,Yes,Yes,No
199,ARE2017,United Arab Emirates,ARE,Middle East & North Africa,High income,2017,26.9,75,Yes,Yes,Yes,No
200,ARE2018,United Arab Emirates,ARE,Middle East & North Africa,High income,2018,26.9,75,Yes,Yes,Yes,No
201,ARE2019,United Arab Emirates,ARE,Middle East & North Africa,High income,2019,30.0,75,Yes,Yes,Yes,No
202,ARE2020,United Arab Emirates,ARE,Middle East & North Africa,High income,2020,59.4,100,Yes,Yes,Yes,Yes
203,ARE2021,United Arab Emirates,ARE,Middle East & North Africa,High income,2021,82.5,100,Yes,Yes,Yes,Yes
204,ARG1971,Argentina,ARG,Latin America & Caribbean,Upper middle income,1971,30.6,0,No,No,No,No
205,ARG1972,Argentina,ARG,Latin America & Caribbean,Upper middle income,1972,30.6,0,No,No,No,No
206,ARG1973,Argentina,ARG,Latin America & Caribbean,Upper middle income,1973,30.6,0,No,No,No,No
207,ARG1974,Argentina,ARG,Latin America & Caribbean,Upper middle income,1974,30.6,0,No,No,No,No
208,ARG1975,Argentina,ARG,Latin America & Caribbean,Upper middle income,1975,30.6,0,No,No,No,No
209,ARG1976,Argentina,ARG,Latin America & Caribbean,Upper middle income,1976,32.5,0,No,No,No,No
210,ARG1977,Argentina,ARG,Latin America & Caribbean,Upper middle income,1977,38.8,0,No,No,No,No
211,ARG1978,Argentina,ARG,Latin America & Caribbean,Upper middle income,1978,38.8,0,No,No,No,No
212,ARG1979,Argentina,ARG,Latin America & Caribbean,Upper middle income,1979,38.8,0,No,No,No,No
213,ARG1980,Argentina,ARG,Latin America & Caribbean,Upper middle income,1980,38.8,0,No,No,No,No
214,ARG1981,Argentina,ARG,Latin America & Caribbean,Upper middle income,1981,38.8,0,No,No,No,No
215,ARG1982,Argentina,ARG,Latin America & Caribbean,Upper middle income,1982,38.8,0,No,No,No,No
216,ARG1983,Argentina,ARG,Latin America & Caribbean,Upper middle income,1983,38.8,0,No,No,No,No
217,ARG1984,Argentina,ARG,Latin America & Caribbean,Upper middle income,1984,38.8,0,No,No,No,No
218,ARG1985,Argentina,ARG,Latin America & Caribbean,Upper middle income,1985,38.8,0,No,No,No,No
219,ARG1986,Argentina,ARG,Latin America & Caribbean,Upper middle income,1986,38.8,0,No,No,No,No
220,ARG1987,Argentina,ARG,Latin America & Caribbean,Upper middle income,1987,38.8,0,No,No,No,No
221,ARG1988,Argentina,ARG,Latin America & Caribbean,Upper middle income,1988,38.8,0,No,No,No,No
222,ARG1989,Argentina,ARG,Latin America & Caribbean,Upper middle income,1989,59.4,75,Yes,Yes,Yes,No
223,ARG1990,Argentina,ARG,Latin America & Caribbean,Upper middle income,1990,59.4,75,Yes,Yes,Yes,No
224,ARG1991,Argentina,ARG,Latin America & Caribbean,Upper middle income,1991,59.4,75,Yes,Yes,Yes,No
225,ARG1992,Argentina,ARG,Latin America & Caribbean,Upper middle income,1992,59.4,75,Yes,Yes,Yes,No
226,ARG1993,Argentina,ARG,Latin America & Caribbean,Upper middle income,1993,62.5,75,Yes,Yes,Yes,No
227,ARG1994,Argentina,ARG,Latin America & Caribbean,Upper middle income,1994,62.5,75,Yes,Yes,Yes,No
228,ARG1995,Argentina,ARG,Latin America & Caribbean,Upper middle income,1995,62.5,75,Yes,Yes,Yes,No
229,ARG1996,Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,65.0,75,Yes,Yes,Yes,No
230,ARG1997,Argentina,ARG,Latin America & Caribbean,Upper middle income,1997,65.0,75,Yes,Yes,Yes,No
231,ARG1998,Argentina,ARG,Latin America & Caribbean,Upper middle income,1998,65.0,75,Yes,Yes,Yes,No
232,ARG1999,Argentina,ARG,Latin America & Caribbean,Upper middle income,1999,65.0,75,Yes,Yes,Yes,No
233,ARG2000,Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,65.0,75,Yes,Yes,Yes,No
234,ARG2001,Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,65.0,75,Yes,Yes,Yes,No
235,ARG2002,Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,65.0,75,Yes,Yes,Yes,No
236,ARG2003,Argentina,ARG,Latin America & Caribbean,Upper middle income,2003,65.0,75,Yes,Yes,Yes,No
237,ARG2004,Argentina,ARG,Latin America & Caribbean,Upper middle income,2004,65.0,75,Yes,Yes,Yes,No
238,ARG2005,Argentina,ARG,Latin America & Caribbean,Upper middle income,2005,70.0,75,Yes,Yes,Yes,No
239,ARG2006,Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,70.0,75,Yes,Yes,Yes,No
240,ARG2007,Argentina,ARG,Latin America & Caribbean,Upper middle income,2007,70.0,75,Yes,Yes,Yes,No
241,ARG2008,Argentina,ARG,Latin America & Caribbean,Upper middle income,2008,70.0,75,Yes,Yes,Yes,No
242,ARG2009,Argentina,ARG,Latin America & Caribbean,Upper middle income,2009,70.0,75,Yes,Yes,Yes,No
243,ARG2010,Argentina,ARG,Latin America & Caribbean,Upper middle income,2010,73.1,75,Yes,Yes,Yes,No
244,ARG2011,Argentina,ARG,Latin America & Caribbean,Upper middle income,2011,73.1,75,Yes,Yes,Yes,No
245,ARG2012,Argentina,ARG,Latin America & Caribbean,Upper middle income,2012,73.1,75,Yes,Yes,Yes,No
246,ARG2013,Argentina,ARG,Latin America & Caribbean,Upper middle income,2013,73.1,75,Yes,Yes,Yes,No
247,ARG2014,Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,73.1,75,Yes,Yes,Yes,No
248,ARG2015,Argentina,ARG,Latin America & Caribbean,Upper middle income,2015,73.1,75,Yes,Yes,Yes,No
249,ARG2016,Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,73.1,75,Yes,Yes,Yes,No
