,ID,economy,latitude_x,longitude_x,country_code_x,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited,period,sign_contract_count,register_business_count,open_bank_account_count,discrimination_credit_prohibited_count,total_law_counts,Fam_A2F_Gender_LB,Fam_CM_SignContract_SC,Fam_CM_RegisterBiz_LB,Fam_CM_OpenBankAccount_LB
10,AFG1982,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1982.0,26.3,75.0,Yes,Yes,Yes,No,1982-1986,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
11,AFG1983,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1983.0,26.3,75.0,Yes,Yes,Yes,No,1982-1986,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
12,AFG1984,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1984.0,26.3,75.0,Yes,Yes,Yes,No,1982-1986,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
13,AFG1985,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1985.0,26.3,75.0,Yes,Yes,Yes,No,1982-1986,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
14,AFG1986,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1986.0,26.3,75.0,Yes,Yes,Yes,No,1982-1986,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
15,AFG1987,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1987.0,26.3,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
16,AFG1988,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1988.0,26.3,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
17,AFG1989,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1989.0,25.6,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
18,AFG1990,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1990.0,25.6,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
19,AFG1991,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1991.0,25.6,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
20,AFG1992,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1992.0,25.6,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
21,AFG1993,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1993.0,25.6,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
22,AFG1994,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1994.0,25.6,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
23,AFG1995,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1995.0,25.6,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
24,AFG1996,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1996.0,25.6,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
25,AFG1997,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1997.0,25.6,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
26,AFG1998,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1998.0,25.6,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
27,AFG1999,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1999.0,25.6,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
28,AFG2000,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2000.0,26.3,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
29,AFG2001,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2001.0,26.3,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
30,AFG2002,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2002.0,26.3,75.0,Yes,Yes,Yes,No,2002-2006,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
31,AFG2003,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2003.0,26.3,75.0,Yes,Yes,Yes,No,2002-2006,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
32,AFG2004,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2004.0,26.3,75.0,Yes,Yes,Yes,No,2002-2006,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
33,AFG2005,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2005.0,26.3,75.0,Yes,Yes,Yes,No,2002-2006,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
34,AFG2006,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2006.0,26.3,75.0,Yes,Yes,Yes,No,2002-2006,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
35,AFG2007,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2007.0,26.3,75.0,Yes,Yes,Yes,No,2007-2011,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
36,AFG2008,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2008.0,28.8,75.0,Yes,Yes,Yes,No,2007-2011,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
37,AFG2009,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2009.0,28.8,75.0,Yes,Yes,Yes,No,2007-2011,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
38,AFG2010,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2010.0,28.8,75.0,Yes,Yes,Yes,No,2007-2011,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
39,AFG2011,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2011.0,28.8,75.0,Yes,Yes,Yes,No,2007-2011,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
40,AFG2012,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2012.0,28.8,75.0,Yes,Yes,Yes,No,2012-2016,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
41,AFG2013,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2013.0,28.8,75.0,Yes,Yes,Yes,No,2012-2016,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
42,AFG2014,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2014.0,28.8,75.0,Yes,Yes,Yes,No,2012-2016,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
43,AFG2015,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2015.0,28.8,75.0,Yes,Yes,Yes,No,2012-2016,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
44,AFG2016,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2016.0,28.8,75.0,Yes,Yes,Yes,No,2012-2016,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
45,AFG2017,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2017.0,38.1,75.0,Yes,Yes,Yes,No,2017-2021,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
46,AFG2018,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2018.0,38.1,75.0,Yes,Yes,Yes,No,2017-2021,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
47,AFG2019,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2019.0,38.1,75.0,Yes,Yes,Yes,No,2017-2021,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
48,AFG2020,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2020.0,38.1,75.0,Yes,Yes,Yes,No,2017-2021,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
49,AFG2021,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,2021.0,38.1,75.0,Yes,Yes,Yes,No,2017-2021,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
50,AGO1972,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1972.0,30.6,0.0,No,No,No,No,1972-1976,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
51,AGO1973,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1973.0,30.6,0.0,No,No,No,No,1972-1976,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
52,AGO1974,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1974.0,30.6,0.0,No,No,No,No,1972-1976,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
53,AGO1975,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1975.0,30.6,0.0,No,No,No,No,1972-1976,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
54,AGO1976,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1976.0,30.6,0.0,No,No,No,No,1972-1976,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
55,AGO1977,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1977.0,30.6,0.0,No,No,No,No,1977-1981,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
56,AGO1978,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1978.0,30.6,0.0,No,No,No,No,1977-1981,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
57,AGO1979,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1979.0,30.6,0.0,No,No,No,No,1977-1981,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
58,AGO1980,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1980.0,30.6,0.0,No,No,No,No,1977-1981,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
59,AGO1981,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1981.0,30.6,0.0,No,No,No,No,1977-1981,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
60,AGO1982,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1982.0,30.6,0.0,No,No,No,No,1982-1986,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
61,AGO1983,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1983.0,33.1,0.0,No,No,No,No,1982-1986,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
62,AGO1984,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1984.0,33.1,0.0,No,No,No,No,1982-1986,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
63,AGO1985,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1985.0,33.1,0.0,No,No,No,No,1982-1986,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
64,AGO1986,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1986.0,33.1,0.0,No,No,No,No,1982-1986,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
65,AGO1987,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1987.0,33.1,0.0,No,No,No,No,1987-1991,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
66,AGO1988,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1988.0,33.1,0.0,No,No,No,No,1987-1991,0.0,0.0,0.0,0.0,0.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
67,AGO1989,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1989.0,56.3,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
68,AGO1990,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1990.0,56.3,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
69,AGO1991,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1991.0,56.3,75.0,Yes,Yes,Yes,No,1987-1991,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
70,AGO1992,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1992.0,56.3,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
71,AGO1993,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1993.0,56.3,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
72,AGO1994,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1994.0,56.3,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
73,AGO1995,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1995.0,56.3,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
74,AGO1996,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1996.0,56.3,75.0,Yes,Yes,Yes,No,1992-1996,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
75,AGO1997,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1997.0,56.3,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
76,AGO1998,Angola,11.2027,17.8739,AGO,Sub-Saharan Africa,Lower middle income,1998.0,56.3,75.0,Yes,Yes,Yes,No,1997-2001,1.0,1.0,1.0,0.0,3.0,"Penal Code, Art. 197; Central Bank of Angola, Notice 02/2011, Art. 5; Notice 12/2016, Art. 5",No restrictions could be located,No restrictions could be located,"Law No. 1/88, Art. 10; National Bank Notices 02/2011 & 12/2016, Art. 5"
